Gene stable ID version,Rat gene stable ID,Mouse gene stable ID
ENSG00000198888.2,ENSRNOG00000030644,ENSMUSG00000064341
ENSG00000198763.3,ENSRNOG00000031033,ENSMUSG00000064345
ENSG00000198804.2,ENSRNOG00000034234,ENSMUSG00000064351
ENSG00000198712.1,ENSRNOG00000030371,ENSMUSG00000064354
ENSG00000228253.1,ENSRNOG00000033299,ENSMUSG00000064356
ENSG00000198899.2,ENSRNOG00000031979,ENSMUSG00000064357
ENSG00000198938.2,ENSRNOG00000030700,ENSMUSG00000064358
ENSG00000198840.2,ENSRNOG00000033615,ENSMUSG00000064360
ENSG00000212907.2,ENSRNOG00000031053,ENSMUSG00000065947
ENSG00000198886.2,ENSRNOG00000029707,ENSMUSG00000064363
ENSG00000198786.2,ENSRNOG00000029971,ENSMUSG00000064367
ENSG00000198695.2,ENSRNOG00000029042,ENSMUSG00000064368
ENSG00000198727.2,ENSRNOG00000031766,ENSMUSG00000064370
ENSG00000114374.13,ENSRNOG00000058664,ENSMUSG00000069044
ENSG00000012817.16,ENSRNOG00000060496,ENSMUSG00000056673
ENSG00000067048.17,ENSRNOG00000057231,ENSMUSG00000069045
ENSG00000183878.16,ENSRNOG00000060617,ENSMUSG00000068457
ENSG00000154620.6,ENSRNOG00000047931,ENSMUSG00000049775
ENSG00000154646.9,ENSRNOG00000001916,ENSMUSG00000022857
ENSG00000154639.19,ENSRNOG00000029029,ENSMUSG00000044860
ENSG00000102699.6,ENSRNOG00000061152,ENSMUSG00000054509
ENSG00000027001.10,ENSRNOG00000013876,ENSMUSG00000021993
ENSG00000142207.7,ENSRNOG00000002080,ENSMUSG00000039929
ENSG00000102781.14,ENSRNOG00000047618,ENSMUSG00000041298
ENSG00000154721.15,ENSRNOG00000042848,ENSMUSG00000053062
ENSG00000132952.12,ENSRNOG00000000909,ENSMUSG00000041264
ENSG00000156282.5,ENSRNOG00000027691,ENSMUSG00000055811
ENSG00000166265.13,ENSRNOG00000001544,ENSMUSG00000041134
ENSG00000243927.6,ENSRNOG00000059381,ENSMUSG00000039680
ENSG00000102753.10,ENSRNOG00000014945,ENSMUSG00000021929
ENSG00000188694.6,ENSRNOG00000048374,ENSMUSG00000050239
ENSG00000198743.7,ENSRNOG00000067988,ENSMUSG00000089774
ENSG00000159259.8,ENSRNOG00000001692,ENSMUSG00000022945
ENSG00000165475.15,ENSRNOG00000008989,ENSMUSG00000021947
ENSG00000156304.15,ENSRNOG00000002104,ENSMUSG00000022983
ENSG00000102547.19,ENSRNOG00000011603,ENSMUSG00000021981
ENSG00000120675.6,ENSRNOG00000009063,ENSMUSG00000022013
ENSG00000132975.8,ENSRNOG00000039832,ENSMUSG00000041468
ENSG00000154654.15,ENSRNOG00000002126,ENSMUSG00000022762
ENSG00000132970.14,ENSRNOG00000048898,ENSMUSG00000029636
ENSG00000156284.6,ENSRNOG00000001571,ENSMUSG00000050520
ENSG00000222018.2,ENSRNOG00000001986,ENSMUSG00000051728
ENSG00000142149.9,ENSRNOG00000002092,ENSMUSG00000053414
ENSG00000154642.11,ENSRNOG00000001554,ENSMUSG00000022864
ENSG00000133110.15,ENSRNOG00000012660,ENSMUSG00000027750
ENSG00000159256.13,ENSRNOG00000026236,ENSMUSG00000039456
ENSG00000159086.15,ENSRNOG00000002036,ENSMUSG00000022974
ENSG00000205929.11,ENSRNOG00000028670,ENSMUSG00000039851
ENSG00000205726.15,ENSRNOG00000002001,ENSMUSG00000022957
ENSG00000102531.16,ENSRNOG00000014478,ENSMUSG00000033487
ENSG00000158270.12,ENSRNOG00000016366,ENSMUSG00000036103
ENSG00000141401.12,ENSRNOG00000018516,ENSMUSG00000024525
ENSG00000183722.9,ENSRNOG00000014153,ENSMUSG00000048332
ENSG00000168461.13,ENSRNOG00000042189,ENSMUSG00000056515
